amount0In,amount0Out,amount1In,amount1Out,amountUSD,id,timestamp
6111,0,0,3.0561599841891515,6106.796081330765588979385908374085,0x7d500bab7192961779f3b3b54294a110bc4fc2fe614ccbe826c877643a46b722-0,1624450013
0,144.27787151580579037,0.072600529949299248,0,144.6398034746425502629083501420987,0xb9d83589579b5d1fedac1ae042a8e0df4e90a34446813fa4a4e97898ba7ef997-0,1624450002
5000,0,0,2.501236434832628079,4997.322318161384837004574896376482,0x065a036bd39ad3e9928d4f4be77685cbaf0c6aab1f1f233161a6fabc1a5cad27-0,1624449947
0,286.629320047507687003,0.144267208477879091,0,287.2099033766467227203293711885859,0x2777a4c47c89d883360ee58fb1ae21a139d5594a0edbb98a8783a04e6c6adfd8-0,1624449704
0,222.028128391892764164,0.111750457721880576,0,222.4209837860764108958008718091258,0xf2f3fca7911ca978d574f0f372ce79138b91f6b17fea517aff4b2bd295adb379-0,1624449438
2694.131976568947551783,0,0,1.347963628907951887,2690.872554486276338798017104053732,0xdaadf6d265ed05dd818f94ea754801ff3ab697d3eac238f774eda0a583cd806e-0,1624449420
0,19.691751969439327363,0.0099125,0,19.7185404750007139643490830516715,0x71b1f6205ec72d75371700664793088e0522f97cce6e6ab781ba51e20630ebc7-0,1624449066
0,38.137827939745762039,0.019197920338179757,0,38.19483238884035747677622130848834,0xb3d2ec633cd1aece10e262c6371ed80787cb47e1fce1654cb9e128a3d9bbc0c3-1,1624449045
1.58862920624061013,0,0,0.000794898175092005,1.586232627001670338243791151445551,0x41c7e095ccd57603e1314c62435e3ed7f8d6c3f445090b23d16c8741e771ece2-0,1624449045
0,250,0.125844721578404594,0,250.5345794718837940063794854655947,0x669590855b793442eff795836c033fc58746ea5179c66380462892c4f5a9a085-0,1624448771
0,134.658569144165928285,0.067783607655116666,0,134.9557304348878759336226454753085,0x9fe85c67d2355b3dc6c2b12af943e7fa31d733b62cd911ae1e8379e4210c87b5-1,1624448621
11520,0,0,5.765818600993304458,11511.38432477893050200460627182709,0xf689f9dea243ba2d88df5c3007da06e023dc2b504614cbe0523f11b38c5e1efd-0,1624448466
0,70.014833317598644028,0.03526436497180294,0,70.1957501103422295917433133415087,0x53e55b0c7d55792a4d0b54504f600995d5bb60209cc87d6f47f9548918e6bb09-0,1624448401
0,39.708658700510834116,0.02,0,39.79426838613931395270741646046286,0x9a4b046afc3fa0636e165fe9b3602181ee10cee69606fdf8ca28ca8ce4220595-0,1624448228
0,2402.235145165945080149,1.209853723184802266,0,2407.296489169975348928203375072893,0x2fbc670b60f6bf0c27da7d0a109b929475a40ff1d270148cc5c848d476bce3d5-1,1624448161
0,996.369310388667379605,0.50176411165063402,0,998.3701202141128508061963815083125,0x8ce01a4265909879f36d0776c6cdb35920ecc7c44175c26d6e92b065fc99ae40-1,1624448146
0,28.209010910035860342,0.014205470969607778,0,28.26620926261850574305420752509468,0xf0b9e2607f22126fd436f7c4ccf092a94f3c5eeef2db3906c92b5071e1098081-0,1624448050
0,1.58862920624061013,0.0008,0,1.592904666297405060713692598854632,0x45392403ffeabc72ae31054dd090ae87538900c8745b5a30882050e835ef08fa-0,1624447907
283.733504210505447613,0,0,0.142027205649527162,283.6473030021775265817140797138261,0x86547e04c0c83710429f0428220b91f625d8b977a4464c68dd18ac8262e38cea-0,1624447872
350,0,0,0.17520078698120236,350.1005023844818802033398738591945,0x23713931e35729274cffdc6feb7783723cdb51087c0e3d899e89ab8155c2ad34-0,1624447625
58.38,0,0,0.029223798222308703,58.39508041768606328385392955152235,0x84d4c415426699c5ffb39b54392258d33f6a319d6a2f5695d4f3c0cda870ad32-0,1624447601
97.094753875062971069,0,0,0.048603783124914361,97.1215550430558329086693758232536,0x5756f542296cf730bab747ee773f674192b6a13ad911198b412ba41364f8a74a-1,1624447554
41.24740053637132765,0,0,0.020647736031009841,41.26004799384138448275625344957197,0xa4d6223d619454583da50646307dfe54a8cddb630fce782e497c4cf88f3cdf9e-0,1624447513
0,4136.467587820501804195,2.082903453217327875,0,4149.827711130306296531311285969929,0xdc96a3c7cd4b42099788c8179c396233affa4a1fa63225596b3a6a1092d6585e-1,1624447457
0,3641.148251768628986289,1.833118817485755357,0,3652.722779865368780150180900155243,0x5b6c93e6c85ef57f33fdb8f37bdff464574609c33655bc6c04a0f7bc3b78eb97-1,1624447352
0,5892.486871275591722863,2.965813794060194893,0,5910.357899392679920809144921177185,0x4c1bf1874b85ead2a5bf5b0e74a402d19de5bd45d0988deef01aa67c7fa23aab-1,1624447283
1200,0,0,0.60029434924302303,1200.204303446917758543583908976965,0xacbc22f9cbbe5048387e50931156e802a8d20eca68fcef7fe6bed8828e57ea0a-0,1624447207
0,12000,6.037436022375209414,0,12037.52571509024119370826212440508,0x2424d6bc4a00000bdcb6523612255080026cfd7b3fad1450dec8d45cdb4c0304-0,1624447175
29.613051258493247589,0,0,0.014805078302013447,29.60602606513662352824565938019785,0xca4f1edb3d9f7e972237e3bf97cb70a7f6a556e2ac0f5ba005339b8964cb82f8-0,1624447140
0,20983.203000000001867776,10.548087869808132101,0,21035.49345306327648751628482810473,0x421f7d58a4721a19fd253d028cc9f4c3541b874f1c45463c4f7bf3e9585762aa-0,1624447140
0,9284.053832303002449078,4.661128594946610057,0,9310.347735706827514202342317202805,0xa8eb7e73569dbaeda8d2adea11f00087951cb3535646e1a776c7fb73292d943e-0,1624447056
0,9344.105610931268344413,4.693533435943255388,0,9374.34002128242811370419068272565,0x2f39df054cf153829acc6172f67b5598ce3910f5d769e676263e2405913e2139-1,1624447056
999,0,0,0.498444201524853291,998.537616529365920923179289475224,0xeb5dd6c6d4fc6cd23d070da87a83b02b2b9fe9f335920073dec1acfd3d6ee69c-0,1624447032
0,21931.570529478032628774,11.002607224413872672,0,21981.80845774773379200994488547434,0x9b340b2bff88ae272ef27bd78192fe8be1e55bc0f84ac734a33a6a5e24d615ec-0,1624447032
0,10,0.005013955720030861,0,10.02076515830114897388661109468389,0x60f1231fd87d1cb0bc79f0ac886723fd5e9009d1e95ec67843bbfce2dae9b46f-0,1624446933
0,15613.151269225608794728,7.825208184140134537,0,15641.49609291097658302287303312621,0x252d96c8b42d185eca738f8a6127d2ad6a184d2c8f92caf134e12aac7bac9dbc-0,1624446908
0,3782.085214925440855295,1.894609565298673501,0,3791.968844639741590219752380893595,0x89d4d72de0c83913624b95b4b5859ad96ea70dc3a4769f30f3245afe54674bba-1,1624446821
0,4119.375649116425463927,2.06315272878825264,0,4129.272692176737589712656356078463,0x1533fc23927a4d4f90bb94b5d2b255c8263e09c846fb860b42556f5725a7481d-1,1624446819
0,12579.120854836637878871,6.297052813523565812,0,12605.25140159086644594135322717239,0x4a72aa2fb53b78af07bff5f72af67726d56fcbf11c23690de9a0202e8d97005c-0,1624446785
0,1159.764421069778156114,0.58077877300304092,0,1162.403092052608463616207834193922,0x2d3a60935540184dbbfddb1450e7b1cd5f83abcbb89596d03532d4450f2383d4-0,1624446785
640.837094512482272939,0,0,0.318780419107310816,640.0044467567065411847642301156795,0x03b5226026875bec6650d656a401310b681d449f922643a28f5c25141c71f750-0,1624446783
0,15923.419781971449989928,7.965605601871569128,0,15956.37197296813382004035882153406,0xfada8d997c80587adad87797cf49c47732881ef00db1befe9c4b16fbc290aabf-0,1624446757
0,23926.223109633762288538,11.956688563038326267,0,23980.34290194035841109786541080451,0xc7c596446d83d294fc01659204671197a9976ec6c8246275ae7e4e648d6f4ac5-0,1624446627
0,2043.264487974442543412,1.02040230332783546,0,2046.102937943482640193238192899271,0x871f61fc1b48891185992b95d3e2ecc56c3dc34d8cae874d333f216b8182e9ff-0,1624446598
0,99.249944125345266526,0.0495625,0,99.38697436745857108443375628056145,0xd429cbb427cbd78e577bff1329bce41c3c8d3b6232ee4dfbd53c8af9511d5ad4-0,1624446481
0,6.107859239459750888,0.003050076820437425,0,6.116273355349194137109216919916175,0xe0640c66a7f2d8a0945758542500102e7879689b7a79f7a4ffb3a71c4aa02e8d-0,1624446468
50,0,0,0.024818902255143114,49.91874790120197990528851872923109,0xc53518e674fc04bfe0e1760078a24f7399b94c52f0a0a7950e639b3fad38c688-0,1624446435
0,252.665836872310509773,0.126173020783478714,0,253.1738001192932480996300583762588,0xff3f2939b6f0775b23eb9e65da100215587cb343259ffe62357b64d4d5ca71a1-1,1624446377
0,1660.414375262462819666,0.829115549512524411,0,1663.69999188943095685684371661577,0x1a1d863ae8079cffa0b8eb0acb1eb637648f281f73891d81b02677266e7864dc-5,1624446377
0,126.171687573468501689,0.063,0,126.5451927287873201330300571775626,0xc61a2c9b26138d070a0aed9aa5eb4f3fa7f57285f62407cc748d0baa99d4f999-0,1624446305
0,27746.937532145056294413,13.844647082180155753,0,27819.01466833838572800098532231676,0x85886192f67327f2310e05816e7ef00c9ba761a4a902abc96abbf50ce0b6fe2e-0,1624446305
0,118.330300589969299255,0.059,0,118.7028211507050900670951650495236,0x4edfef672ba616260915d29e7ee826f22d4f40c6e7f013805597bcd52f59b063-0,1624446217
0,1979.171791248346559324,0.986770335402741139,0,1985.414888808839203467278245196609,0xc385135d311878905729c7dc07dc6a284cf54da542bbc79bc81d24292f890e13-0,1624446165
12754.501637944112199711,0,0,6.322757939687670683,12747.97115276395155047866827834717,0x0c2599639aca40629c694c6f91aafe2971fbc2cf1d6286d8e5dfd1f4c53e1b13-0,1624446123
19171.256289905280797633,0,0,9.511505887839957971,19171.69385020929443021933937540852,0x103291b27676f213aca4a2d14f8b730872bcda7e51e0b12c5d447f2971156258-0,1624446066
4016.398604341830950594,0,0,1.993854878514421837,4012.620607988420002725215700035442,0xb8deba6af76b815b7553b1005b03c2acb8b999c7363eb8ee08060d16c2012b43-0,1624446031
0,640.837094512482272939,0.320074866581200158,0,642.232953446434439635659759848672,0x2a50f1fbdfba063d4e0c74e496e6ff63923444233a1ae062d2a93346e8d73d85-0,1624446031
33959.207999999999737856,0,0,16.897298028838731871,33926.602409354448700452639834096,0xdf92d5c4e102948364361ee8fcd48fd7d8cb4283fab2d5c80ab93064b5cd6247-0,1624446006
26613.20795855315759258,0,0,13.221520232770192087,26554.81484229287718635187207933704,0x83f72cd0ddf9cf36c1f5ecdec13468b160527cadfaa041f8a2c67bcd6ff52c49-0,1624446006
0,85.826690055450619052,0.043,0,86.09023956849871479377600718733495,0xcb6a8b6af6c496225ac9a4bd3136fe1d77cbcd81682da983ecd9b3d8f5f749b3-0,1624445914
0,25.401074525353705674,0.012726219984781182,0,25.47931047050932567245165380365665,0x6e5d07271c3bb5a3fc39e2a738d36e6441988f5ec2a131a25d30330e0dbd59bd-1,1624445914
0,939.897645351414182256,0.47088532723525306,0,942.502438249909926309651992065445,0x916904c86cb941fea4b28b280b8751e9c4d1eed2aeee73ad92ca819c9a5f2fe1-1,1624445787
1807.934761722919557277,0,0,0.900362440275326439,1807.537697362443484444274274977661,0xfb3e4d0279e7cbf7a5bcac9cdd8636779ca0b3fe462fdd3a9bf19944fcf72f63-0,1624445726
750,0,0,0.373529068726869576,749.4452961917944107324678735699325,0x325e91248b855f0b92acca766037b2a4b1dd1cd6a6a11499e858283e18dfb17b-0,1624445605
0,495.219458161207844121,0.248126603900922133,0,496.3535730891397140815149950472854,0xbffb5fd7f735a7bd6cc9aa5504022cc969217458f8429ce47e032d4966acfe3c-1,1624445583
0,83.826268501887923652,0.042,0,83.97600917481208668470181661349745,0x69b0f4bc604e70d253425316e95e11703d7bc90cd5739c2eaec4b862b7ec64ac-0,1624445476
1781.801710472778308608,0,0,0.887437593003684592,1779.451326047829765038571693775865,0xcc8c8f5f170f66d0eea2e2232dc9a013cef7c26513e23a5984409d60ab103d94-0,1624445451
0,57.874953891536243248,0.029,0,57.9765519965986932900966447028933,0xc12b43a1c67a95131cc7e3afcebb8cd6f2c7a6692000fa2d6250e37e12dedfc6-0,1624445421
8000,0,0,3.985441333797691215,7989.38641959370757941963167343546,0xa2fab9c934efbb45e36255e47be531441277075ecfe4455e48f49db98a314522-0,1624445361
45.348355430524688505,0,0,0.022596315933944174,45.29910370831554647081116957134935,0x2aac4218828a81c603b7587fcc3014bcf5d8f8fa86e394e1aee884f4b319b109-1,1624445361
0,546.814211791687554927,0.274106886946260395,0,547.8611917050446888781206389126635,0xb579dbb645448171affd8bc26fb6d64f61ee1ab91b5b7c0dfc4ea28609b89859-1,1624445359
0,222.73665342485093159,0.111651158513872619,0,223.1587416810665845795931175844152,0xc5517587114f367874ac0082a3f0f0cd0de5bce0da536ba96c34df6056c2597f-1,1624445350
0,13425.357009396683131119,6.727355685887572445,0,13448.10674093119911026882719856849,0x7b6461488e63c733d64b592d8d9e2f9684ed029293904d8cfe82773d31eeda5f-1,1624445326
0,59.889878860902153182,0.03,0,59.9636980703504254683873111737253,0x7d314e9b00ae7b3207e630ae446050302b3f41696aa49ee48467052e49cfba9d-0,1624445319
0,39.926688579653281383,0.02,0,39.96756284570397480248116169725102,0xf8ddcad4c2672cd2bcf47ca14f0d771c6ce5ba09666fa403d471c945c72500a5-0,1624445130
1000,0,0,0.497929376128990849,997.9778181444577937705118620264115,0xd6b91f0a3d5255be5107351051c0f65949fa919ac76600cb8940e94d1b66c1f3-0,1624445055
0,181.761930711850771115,0.091051994572109648,0,181.9221037143420135035919129754523,0xfc08dce2c013f01f146bc3532e994402dc6b52a60bc25bc9c7e20f8703439e2d-1,1624445038
76.663354475679627428,0,0,0.038173633273781187,76.52930258837033408497453754627975,0x69d3754415e223c3377f4c252ae3b4353f340a9e0fa52049a3064e4231834610-0,1624445030
73.52026,0,0,0.03660870688491195,73.41357694664178160861901529102675,0xbeb2128a621a200bdae985fde67c78e9ae4fb52b64ff92458c03b587650ed633-0,1624444992
0,20905.938480361793378743,10.467024831636351972,0,20961.79184060804441342536449760877,0xefaedf42c870f7b4ae3636bc07d9f88a578aed05e2a17ef6b9fed95a85084a69-0,1624444883
0,76.663354475679627428,0.038362506749226015,0,76.8508965395386982699696661479599,0x77551d3aeca1e0631812f4dea8e196fdecfd0cf0f7f6198dcf6b8838b7830d26-0,1624444868
0,13526.92913771198708256,6.766529875794603157,0,13559.05744777035176652589650386784,0x49ba30b5287583486ac8b58b761c3ea9bee9cbcb2c036f8611fc90e7e1b5c398-0,1624444868
4026.655664130939622354,0,0,2.001683917183662482,4022.679664908036626591728098869049,0xf8796e8bdd0acb10f401b4f81090598d110babd59d2345e4db8e0da237c7cfe3-0,1624444837
2000,0,0,0.994370342971918788,1998.375007456521003932254576752942,0xdfe91f10fa2e01b28aa7c0480b9b5f7e837c859ebe6e252e3ba388e08c172d2d-0,1624444837
0,18339.686223423898801158,9.169309851629322835,0,18376.81179460936432834302963406241,0x2085e50efe55a2dc2588469f35f38bf5bc9cdb92ad6e088be4ca3c96272952d4-0,1624444837
3500.88383567706982007,0,0,1.739190239321583023,3495.594721863086252983963596173077,0x761a03a6c66f158cc7cecb750d9a2499ba9d36fc5d30952796d9c1f052ca38c7-0,1624444821
2.247900480533766689,0,0,0.001116825843809012,2.245688299318151955067832670357655,0x33d91110adb072a0182447f398c5c08860abe3a1bb75997fcf7d22baca323a55-1,1624444811
0,1000,0.499812239548791909,0,1002.305303321463637838640561550243,0x530f7fc2b444c934346111519c9f4a433f7cf0db196abaf1c0256aff68ebd769-1,1624444574
234.771366589929566068,0,0,0.116636314850357114,234.0204773087998431448457254445445,0xfe416a80494b4d3b96064764b606996876fc4bc402d3c9da7f30ada04b786711-0,1624444497
61507.185007950315871491,0,0,30.605836456740542386,61359.36151790523392774904638846555,0x6341d9d2049fdb1ef60fe4ee800befafb4ccbee58f9cbbf1ae2f2420bedfbba8-0,1624444497
71913.61700000000114688,0,0,35.907020280079330591,71940.1559094094115854764319267151,0x9ad797ea761dbb6b1ffa441131be0eae54b56c53610443be1f55963cfb3b6156-0,1624444449
500,0,0,0.250118716421939,500.091363034832070536422676575369,0x8c567ee4ec6287043e1bd2490501f2c98070ea23648c924dc8859c7e06326d6f-0,1624444445
13172.27612507166763926,0,0,6.591295754500392028,13166.2330400015585121973891440832,0xe8e50ba877e7803eeeaf3e91f0ca3f5b8606cee5f92f9855921f7995f98ae000-0,1624444441
0,863.131468649355822465,0.434368884656227764,0,865.3204260834607024801145206773165,0xb957af1c77286c4d8073b63eb0c9afa01afdbe3c674d8e37c754560baf5f64c1-1,1624444441
0,6810,3.428762198099546004,0,6827.841362214050695391294709980885,0x49ed5f1435e468056c4ecbd005266340f42ca54ae9ff147aebef55518cd85c04-0,1624444401
16110.238691271061200177,0,0,8.064673044623304723,16103.80870546986280158891296325128,0x32f14647bbaa9da5df6349a511923d5211751cd9e982692e6822a8d75e738d1b-0,1624444385
15448.217164477490974747,0,0,7.739560546211779967,15441.81065960201912779181840392844,0xdea5b3bce120859cb61c7021bb32a8f935895aad06bbf4bccb53cd27736bda67-0,1624444362
118.046043064694654435,0,0,0.059164792295429941,117.9511036685472372719552787069436,0xb0e2d382bc7c2e86d6c650ddcabee1701c53be9b5d377bc2c93a4e6846895641-0,1624444348
50,0,0,0.025060157417102001,49.95939736369332786479329271781667,0xa51cf157e5014817f8cf61b0984e2bf1df732222d54140c0a2fe07a774e532ce-0,1624444294
30303.259563280008068234,0,0,15.2,30289.36497831352982484455131104966,0xc378c910e296f66466cfb7d1b4dc72d9a06008656bd3f697eb16148848828a32-0,1624444188
85.415386184497203141,0,0,0.04287757180649049,85.454493585673778824387389564005,0x392a15c915f36ec70b45aec2093930a0d328e6dd992dd9628eb89f523b2d7c59-1,1624444161
22.316932595901304791,0,0,0.011202882522406913,22.32495685709262131782910130326598,0x65218e695d1a284bf52f52973dfa717f81de2b92c953e2c76c7da5257f7d41b0-0,1624444122
24.704083751634161058,0,0,0.012401224166919081,24.71303291384582854244796750038316,0x10ab3d085bb80d600a1344dff13396d55eb9d0597b2c0a2e0f054542a3734960-2,1624444111
0,19.776582630958692526,0.0099875,0,19.84328989773459508849893429269472,0x84759b90d21d3393a00bd81454683b1c1e72240b5658e905960c37ba2517f797-0,1624444103
10.343384122366740732,0,0,0.005192283634575953,10.3471896099000199399066620176285,0x059263f157b6dbb3190b23d46296d1c8bc38c24200dcf074b7dddcb101ff20f6-1,1624444068
1333.413986713647812421,0,0,0.669384788788865245,1333.877613087308935032957570097547,0x41e3ea82394da3a8b1b70238564c995b726b675e137d6be6dcdcfaa0f2602780-2,1624444030
0,12.869985805524879348,0.0065,0,12.9137571265686880153547538278302,0x793c7a26b0f2eca1c3f889098b26e703534684ec3ebe7440ebcee2838b919e13-0,1624444019
0,669.976683492475842275,0.338366448066147683,0,672.247484238092484160833228177111,0x77eea44c36f83e6dee08e7a5623327faa89ff8b95a49f942e0ec07cdafb4e485-1,1624444019
24.808573496601094656,0,0,0.012454103592216476,24.82383884415099105225029010009795,0x4c4c25b902bc92d063e6f0523b562a205c98cec86e8cf365bb2ab4787446280f-1,1624443942
0,1620.885338774056115859,0.81856786929220564,0,1626.51134011269298961271108569762,0x86302f309380f150627572c4d1a19754c66434827f414c7131b5c30189e8429b-1,1624443891
803,0,0,0.403087271178387257,803.343881865764178964029560931439,0x940040e93e48fddf830cc0fc9c481a422c68385e88f1a3d09cbf59d619ec3e17-0,1624443881
12009.34189336146479185,0,0,6.030405354911535999,12016.69341925388939151557413821356,0x246a8157d15836232736f8afb739f3f524580e3e5dd1c987ca0cb032c377ffe3-0,1624443821
10410.823654669879301254,0,0,5.230745944717270105,10422.23578130220974428492656175965,0x13c8256d59e563232eb08d02bed262e3652fc2e38f9e165e9515a70613ce97bf-0,1624443793
15.576698616188546675,0,0,0.007828357448429039,15.59868385680847237345216307931984,0x7d68e7181f3db55156663c87db1bbd610a01289d3ff67abb4aa933cf3dca8297-2,1624443788
0,1048.601515149748371391,0.530156097802352543,0,1053.212973288361146459847734193381,0x776d2b575bac10c4f6ff39eeca4701802b007a1713617ae6481f042b07adc7bc-1,1624443769
43.788427566819415306,0,0,0.022005521520324161,43.82983901167207841428475331964596,0x96b41ba113111b10bfb0bb78c377f4b6149999fcc3ea427c536820a61190f0f1-0,1624443529
